instituicao,tipo_ies,estado,uf,biblioteca_digital
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,BV Pearson
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Dot.Lib Lectio
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Fórum
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Minha Biblioteca
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,PressReader
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,RT Online
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Target GEDWeb
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,UpToDate
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Jstor
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Springer
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,Minha Biblioteca
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,BV Pearson
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,Cengage
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,RT Online
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,Target GEDWeb
Serviço Nacional de Aprendizagem Comercial de Minas Gerais (SENAC-MG),Privada,Minas Gerais,MG,Minha Biblioteca
Serviço Nacional de Aprendizagem Comercial de Minas Gerais (SENAC-MG),Privada,Minas Gerais,MG,BD Senac
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,Minha Biblioteca
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,EBSCO eBooks
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,EMIS
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,Comdinheiro
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,PressReader
Centro Universitário de Várzea Grande (UNIVAG),Privada,Mato Grosso,MT,Minha Biblioteca
Fundação Educacional de Ituverava,Privada,São Paulo,SP,Minha Biblioteca
Fundação Educacional de Ituverava,Privada,São Paulo,SP,BV Pearson
Faculdade Frassinetti do Recife,Privada,Pernambuco,PE,BV Pearson
Faculdade Frassinetti do Recife,Privada,Pernambuco,PE,Saraiva
Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM),Pública,Minas Gerais,MG,Minha Biblioteca
Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM),Pública,Minas Gerais,MG,ABNT Coleção
Centro Universitário de Brusque (UNIFEBE),Privada,Santa Catarina,SC,Minha Biblioteca
Centro Universitário de Brusque (UNIFEBE),Privada,Santa Catarina,SC,EBSCO eBooks
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,Minha Biblioteca
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,BV Pearson
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,EBSCO eBooks
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,ABNT Coleção
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,Target GEDWeb
Universidade Federal de Santa Maria (UFSM),Pública,Rio Grande do Sul,RS,Minha Biblioteca
Universidade Federal de Santa Maria (UFSM),Pública,Rio Grande do Sul,RS,Dot.Lib Lectio
Universidade Federal de Santa Maria (UFSM),Pública,Rio Grande do Sul,RS,Target GEDWeb
Universidade Federal Rural do Rio de Janeiro (UFRRJ),Pública,Rio de Janeiro,RJ,BD Cengage
Universidade Federal da Fronteira Sul (UFFS),Pública,Rio de Janeiro,RJ,Minha Biblioteca
Universidade do Vale do Sapucaí (Univás),Privada,Minas Gerais,MG,Minha Biblioteca
Centro Universitário Adventista de São Paulo (UNASP),Privada,São Paulo,SP,Minha Biblioteca
Centro Universitário Adventista de São Paulo (UNASP),Privada,São Paulo,SP,BV Pearson
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,BV Pearson
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,Saraiva
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,RT Online
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,Saraiva
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,Target GEDWeb
Centro Univeritário de Anapolis (UniEvangélica),Privada,Goiás,GO,Minha Biblioteca
Centro Univeritário de Anapolis (UniEvangélica),Privada,Goiás,GO,Dot.Lib Lectio
Faculdade Ideal Trends,Privada,São Paulo,SP,Minha Biblioteca
